Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
Muqui,3203809,muquiense,HELIO CARLOS RIBEIRO CANDIDO,327.268,15602,43.96,97.7,0.694,7.04,37243.06426,34299.33853,13130.06,;;;;;;;;;;;;;;;;;;;;;;;
Nova Ven&eacute;cia,3203908,veneciano,ANDRE WILER SILVA FAGUNDES,1439.571,50751,31.92,98,0.712,5.61,130400.24461,115049.2845,20090.18,;;;;;;;;;;;;;;;;;;;;;;
Pancas,3204005,panquense,SIDICLEI GILES DE ANDRADE,837.842,23426,25.96,97.2,0.667,4.46,49070.14699,44593.75763,10717.50,;;;;;;;;;;;;;;;;;;;;;;;
Pedro Can&aacute;rio,3204054,canariense,BRUNO TE&Oacute;FILO ARA&Uacute;JO,433.453,26575,54.84,97.5,0.654,13.11,64430.19171,52630.87007,12005.97,;;;;;;;;;;;;;;;;;;;;
Pinheiros,3204104,pinheirense,ARNOBIO PINHEIRO SILVA,973.136,27601,24.55,97.4,0.673,8.29,69573.6681,59362.34208,22282.80,;;;;;;;;;;;;;;;;;;;;;;;
Pi&uacute;ma,3204203,piumense,PAULO CELSO COLA PEREIRA,74.046,22388,242.18,98.4,0.727,23.53,79702.88843,69659.64405,30640.60,;;;;;;;;;;;;;;;;;;;;;;
Ponto Belo,3204252,pontobelense,JAIME SANTOS OLIVEIRA JUNIOR,360.110,8016,19.35,98.7,0.669,-,24753.88704,21459.59,10630.58,;;;;;;;;;;;;;;;;;;;;;;;
Presidente Kennedy,3204302,kennediense,DORLEI FONTAO DA CRUZ,594.897,11741,17.66,97.1,0.657,13.82,359667.53976,335144.97573,464883.49,;;;;;;;;;;;;;;;;;;;;;;;
Rio Bananal,3204351,ribanense,EDIMILSON SANTO ELIZIARIO,641.929,19398,27.30,95.4,0.681,10.79,82159.50653,59092.63948,20090.13,;;;;;;;;;;;;;;;;;;;;;;;
Rio Novo do Sul,3204401,novense-do-sul,JOCENEI MARCONCINI CASTELARI,204.464,11630,55.42,97.8,0.711,15.38,37471.72525,31142.64838,16849.34,;;;;;;;;;;;;;;;;;;;;;;;
Santa Leopoldina,3204500,leopoldinense,ROMERO LUIZ ENDRINGER,718.325,12171,17.05,93.6,0.626,24.19,41684.93473,35615.80182,16526.03,;;;;;;;;;;;;;;;;;;;;;;;
Santa Maria de Jetib&aacute;,3204559,santa-mariense,HILARIO ROEPKE,735.198,41588,46.46,95.9,0.671,9.4,126685.54977,98268.15685,36561.24,;;;;;;;;;;;;;;;;;;;;;;
Santa Teresa,3204609,teresense,KLEBER MEDICI DA COSTA,683.032,23853,31.94,98.2,0.714,-,72317.04775,62374.5215,19963.23,;;;;;;;;;;;;;;;;;;;;;;;
S&atilde;o Domingos do Norte,3204658,dominguense,ANA IZABEL MALACARNE DE OLIVEIRA,298.580,8735,26.79,93.7,0.682,19.42,33445.69662,27060.74041,52865.03,;;;;;;;;;;;;;;;;;;;;;;
